property,name
3D,
4X,['War Game']
Abstract,
Abstract Strategy,"['Abstract', 'Strategy']"
Acting,['Role Playing']
Action / Dexterity,['Dexterity']
Action / Event,
Action Drafting,['Drafting']
Action Points,
Action Queue,
Action Retrieval,
Action Timer,['Timer']
Advantage Token,
Adventure,
Age of Reason,"['War Game', 'History']"
Alliances,
American Civil War,"['War Game', 'History']"
American Indian Wars,"['War Game', 'History']"
American Revolutionary War,"['War Game', 'History']"
American West,['History']
Ancient,['History']
Animals,
Arabian,['History']
Area Majority / Influence,
Area Movement,
Area-Impulse,
Auction / Bidding,"['Auction', 'Bidding']"
Auction Compensation,['Auction']
Auction: Dexterity,"['Auction', 'Dexterity']"
Auction: Dutch,['Auction']
Auction: Dutch Priority,['Auction']
Auction: English,['Auction']
Auction: Fixed Placement,['Auction']
Auction: Multiple Lot,['Auction']
Auction: Once Around,['Auction']
Auction: Sealed Bid,['Auction']
Auction: Turn Order Until Pass,['Auction']
Automatic Resource Growth,
Aviation / Flight,['Vehicles']
Betting and Bluffing,"['Betting', 'Bluffing']"
Bias,
Bids As Wagers,['Bidding']
Bingo,
Bluffing,
Book,
Bribery,
Campaign,
Campaign / Battle Card Driven,['Campaign']
Card Game,
Card Play Conflict Resolution,
Catch the Leader,
Chaining,
Children's,['Childrens Game']
Children's Game,['Childrens Game']
Chit-Pull System,
City Building,['Construction']
Civil War,['War Game']
Civilization,
Closed Drafting,['Drafting']
Closed Economy Auction,['Auction']
Collectible,
Collectible Components,['Collectible']
Comic Book / Strip,
Command Cards,
Commodity Speculation,
Communication Limits,
Connections,
Constrained Bidding,['Bidding']
Construction,
Contracts,
Cooperative,
Cooperative Game,['Cooperative']
Crayon Rail System,['Drawing']
Creatures,
Crime,
Critical Hits and Failures,
Crowdfunded,
Cube Tower,['Dice']
Customizable,['Customizable Game']
Deck Construction,['Deck Building']
"Deck, Bag, and Pool Building",['Deck Building']
Deckbuilding,['Deck Building']
Deduction,['Induction / Deduction']
Delayed Purchase,
Dice,['Dice Game']
Dice Rolling,['Dice']
Die Icon Resolution,['Dice']
Different Dice Movement,['Dice']
Digital Hybrid,
Digital Implementation,
Drawing,
Dungeon Crawler,
Economic,
Educational,
Elapsed Real Time Ending,['Timer']
Electronic,
Enclosure,
End Game Bonuses,
Environmental,['Nature']
Escape Room,
Events,
Expansion for Base-game,['Expansion']
Exploration,
Fairy Tales,
Family,
Fan Expansion,['Expansion']
Fantasy,
Farming,
Fighting,
Finale Ending,
Flicking,
Follow,
Food,
Force Commitment,
Game System,
Grid,
Grid Coverage,['Grid']
Grid Movement,['Grid']
Hand Management,
Hexagon Grid,['Grid']
Hexagonal,
Hidden Movement,
Hidden Roles,
Hidden Victory Points,
Highest-Lowest Scoring,
History,
Horror,
Hot Potato,
Humor,
"I Cut, You Choose",
Impulse Movement,
Income,
Increase Value of Unchosen Resources,
Induction,['Induction / Deduction']
Industry / Manufacturing,
Interrupts,
Investment,
Kill Steal,
King of the Hill,
Korean War,['War Game']
Ladder Climbing,
Layering,
Legacy Game,
Line Drawing,['Drawing']
Line of Sight,
Loans,
Location,['History']
Lose a Turn,
Mafia,['Crime']
Magic,
Mancala,
Map Addition,
Map Deformation,
Map Reduction,
Market,
Matching,
Math,
Mature / Adult,
Maze,
Measurement Movement,
Medical,['Science']
Medieval,['History']
Meeples,
Melding and Splaying,
Memory,
Miniatures,
Minimap Resolution,
Modern Warfare,['War Game']
Modular Board,
Move Through Deck,
Movement Points,
Movement Template,
Movies / TV / Radio theme,
Moving Multiple Units,
Multi-Use Cards,
Multiple Maps,
Murder / Mystery,
Music,
Mythology,
Napoleonic,['History']
Narrative Choice / Paragraph,
Nature,
Nautical,['Ocean']
Negotiation,
Neighbor Scope,
Network and Route Building,
Novel-based,
Number,
Ocean,
Once-Per-Game Abilities,
Open Drafting,['Drafting']
Order Counters,
Ordering,
Ownership,
Paper-and-Pencil,['Drawing']
Party,['Party Game']
Party Game,
Passed Action Token,
Pattern Building,
Pattern Movement,
Pattern Recognition,
Physical Removal,
Pick-up and Deliver,
Pieces as Map,
Pike and Shot,['History']
Pirates,
Player Elimination,
Player Judge,
Point to Point Movement,
Political,
Polyominoes,
Post-Apocalyptic,
Post-Napoleonic,['History']
Predictive Bid,['Bidding']
Prehistoric,['History']
Print & Play,
Prisoner's Dilemma,
Programmed Movement,
Push Your Luck,
Puzzle,
Questions and Answers,
Race,['Racing']
Racing,
Random Production,
Ratio / Combat Results Table,
Re-rolling and Locking,['Dice']
Real-Time,
Real-time,['Real-Time']
Relative Movement,
Religious,['Mythology']
Renaissance,['History']
Resource Queue,
Resource to Move,
Rock-Paper-Scissors,
Role Playing,
Roles with Asymmetric Information,
Roll / Spin and Move,
Roll-and-Write,
Rondel,
Scenario / Mission / Campaign Game,['Campaign']
Science,
Science Fiction,
Score-and-Reset Game,
Secret Unit Deployment,
Selection Order Bid,['Bidding']
Semi-Cooperative Game,['Cooperative']
Set Collection,
Simulation,
Simultaneous Action Selection,
Singing,['Music']
Single Loser Game,
Slide / Push,
Solo / Solitaire Game,['Solitaire']
Space Exploration,['Science Fiction']
Speed Matching,
Spelling,['Word Game']
Spies / Secret Agents,
Sports,
Square Grid,['Grid']
Stacking and Balancing,['Dexterity']
Stat Check Resolution,
Static Capture,
