mechanic,count,idf,weight
Hand Management,4409,1.3822043758683655,0.18963068832570576
Set Collection,2887,1.8055148442965403,0.24770651047254327
Variable Player Powers,2784,1.8418311919478727,0.2526889096913789
Drafting,2289,2.037527247760972,0.2795373109946591
Tile Placement,1789,2.2838634454744566,0.3133332557532611
Area Majority / Influence,1651,2.364092390228334,0.3243402170123475
Simulation,1438,2.5021306374218892,0.34327829034476814
Bluffing,1230,2.6582522181248036,0.36469729561494846
Induction / Deduction,1219,2.667228206581955,0.3659287508897618
Action Points,1167,2.710786180921085,0.371904660675761
Auction,1133,2.74032786002156,0.37595761336490346
Worker Placement,1098,2.771678389905636,0.38025873023668155
Simultaneous Action Selection,1086,2.782657457188048,0.38176499669212527
Deck Building,1028,2.8374916084752075,0.38928793471336204
Push Your Luck,1006,2.859103451590695,0.3922529583795636
Exploration,995,2.870087086724659,0.3937598515186216
Area Movement,982,2.8832252241620906,0.39556233029026683
Bidding,981,2.8842430359547913,0.3957019683598646
Variable Set-up,891,2.980368211729248,0.40888980336153563
Pattern Building,845,3.033314984703034,0.4161538036634708
Point to Point Movement,802,3.0854796303624954,0.4233105004844135
Puzzle,802,3.0854796303624954,0.4233105004844135
Construction,776,3.1183939939416097,0.4278261665684459
Roll / Spin and Move,764,3.1339585104827212,0.4299615309448563
Dexterity,755,3.145792968129724,0.4315851521608958
Drawing,719,3.1945831322991562,0.4382788890470643
End Game Bonuses,710,3.2071619145060164,0.4400046274181988
Memory,707,3.2113902506155374,0.4405847314179544
Turn Order,640,3.310804887388587,0.4542238620198089
Player Elimination,621,3.3408942515700777,0.4583519540303947
Territory Building,613,3.353839416162115,0.46012795800993306
Negotiation,549,3.4639160660827404,0.47522985701811843
Pick-up and Deliver,549,3.4639160660827404,0.47522985701811843
Events,527,3.5047380606029956,0.4808304057176122
Trading,484,3.589685453371774,0.49248471158109736
Movement Points,484,3.589685453371774,0.49248471158109736
Contracts,437,3.691615433932811,0.5064689332434488
Secret Unit Deployment,432,3.7030966163067673,0.5080440870733579
Pattern Recognition,411,3.752810994959731,0.5148646210032433
Action Queue,388,3.810255000690811,0.5227456164169114
Betting,388,3.810255000690811,0.5227456164169114
Voting,385,3.8179969748444265,0.5238077718502043
Income,343,3.933192686935859,0.5396119774781487
Tableau Building,320,4.002393221179242,0.5491059026676383
Line of Sight,305,4.050249242356877,0.5556714803744395
Variable Phase Order,269,4.175412385310882,0.572843161614752
Roll-and-Write,267,4.1828473637984,0.5738631989644306
Stock Holding,258,4.217006282609719,0.5785496110462783
Communication Limits,249,4.2523734264470106,0.583401784825403
Track Movement,246,4.26444600768128,0.585058075262108
