name,description,properties,games_count
Two-Player Wargames,Tactical grid-based simulations for competitive two-player wargaming experiences,"[""type::War Game"", ""mech::Simulation"", ""comp::Dice"", ""comp::Grid"", ""type::Two-Player""]",993
Family Set-Collection Card Games,Family-friendly games combining card play with collecting and completing sets through drafting,"[""mech::Set Collection"", ""comp::Cards"", ""type::Card Game"", ""type::Family"", ""mech::Drafting"", ""mech::Hand Management"", ""type::Strategy""]",635
Cooperative Dice Strategy,Cooperative puzzle-like games with dice and varied player roles on grids,"[""type::Solitaire"", ""type::Cooperative"", ""comp::Dice"", ""mech::Variable Player Powers"", ""type::Strategy"", ""comp::Grid""]",453
Economic Auction Set Collection Games,Family economic games driven by bidding and auction decisions,"[""mech::Bidding"", ""mech::Auction"", ""type::Economic"", ""type::Strategy"", ""mech::Set Collection"", ""type::Family""]",428
Family Abstract Tile Placement,Family-friendly abstract games featuring strategic tile placement and drafting,"[""mech::Tile Placement"", ""type::Strategy"", ""type::Abstract"", ""comp::Grid"", ""type::Family"", ""mech::Drafting""]",388
Take-That Family Card Games,Family card games where players actively attack and interfere with each other's progress,"[""type::Take That"", ""mech::Hand Management"", ""comp::Cards"", ""type::Card Game"", ""mech::Variable Player Powers"", ""mech::Set Collection"", ""type::Family""]",366
Simultaneous Action Card Games,Family card games where all players choose and reveal actions simultaneously without knowing others' choices,"[""mech::Simultaneous Action Selection"", ""mech::Hand Management"", ""comp::Cards"", ""type::Card Game"", ""type::Family""]",283
Family Dice Games,Simple solo-playable dice games for families with variable player abilities,"[""type::Dice Game"", ""comp::Dice"", ""type::Solitaire"", ""type::Family"", ""mech::Variable Player Powers""]",260
Two-Player Abstract Tile Games,Strategic abstract games with pattern building and tile placement for two players,"[""type::Abstract"", ""type::Strategy"", ""mech::Pattern Building"", ""comp::Grid"", ""mech::Tile Placement"", ""type::Two-Player"", ""type::Family""]",247
Cooperative Bluffing Mystery Games,Party style mystery games built on bluffing and deduction,"[""mech::Induction / Deduction"", ""type::Murder / Mystery"", ""mech::Bluffing"", ""type::Cooperative"", ""type::Party Game"", ""type::Card Game""]",227
Roll-and-Write Family Games,Accessible dice-rolling games where players draw or write results simultaneously,"[""mech::Roll-and-Write"", ""mech::Drawing"", ""type::Dice Game"", ""comp::Dice"", ""type::Solitaire"", ""type::Family""]",219
Cooperative Miniatures Adventure Games,Explore modular boards in tactical cooperative combat,"[""mech::Exploration"", ""comp::Modular Board"", ""type::Cooperative"", ""type::Solitaire"", ""mech::Variable Player Powers"", ""type::Fighting"", ""comp::Miniatures"", ""comp::Dice"", ""comp::Grid""]",199
Area Control Wargames,Strategic wargames focused on controlling territories and managing combat resources,"[""mech::Area Majority / Influence"", ""type::Strategy"", ""mech::Hand Management"", ""type::War Game"", ""mech::Variable Player Powers""]",191
Family Trick-Taking Card Games,Family card games centered on taking tricks and managing hand values across multiple rounds,"[""type::Trick-taking"", ""type::Card Game"", ""comp::Cards"", ""mech::Hand Management"", ""type::Family""]",177
Complex Tactical Wargames,Detailed two-player wargame simulations with movement systems and combat results tables,"[""mech::Ratio / Combat Results Table"", ""mech::Zone of Control"", ""mech::Movement Points"", ""mech::Simulation"", ""type::War Game"", ""comp::Grid"", ""type::Two-Player"", ""comp::Dice"", ""mech::Variable Set-up""]",175
Multi-Use Drafting Card Games,Strategic card games where each card has multiple possible uses that players must choose from during drafting,"[""comp::Multi-Use Cards"", ""comp::Cards"", ""mech::Hand Management"", ""type::Card Game"", ""type::Strategy"", ""mech::Drafting"", ""type::Solitaire"", ""mech::Variable Player Powers"", ""mech::Set Collection""]",171
Bluffing & Betting Party Card Games,Family party card games centered on bluffing and betting mechanics with hidden information,"[""mech::Bluffing"", ""mech::Betting"", ""mech::Induction / Deduction"", ""type::Party Game"", ""comp::Cards"", ""type::Card Game"", ""mech::Hand Management"", ""type::Family"", ""mech::Variable Player Powers""]",166
Family Route Building Games,Accessible economic games about building networks and placing tiles,"[""comp::Network and Route Building"", ""type::Economic"", ""type::Strategy"", ""mech::Tile Placement"", ""comp::Grid"", ""type::Family""]",166
Push-Your-Luck Family Games,Family games where players push their luck to maximize scores at the risk of losing accumulated progress,"[""mech::Push Your Luck"", ""type::Dice Game"", ""comp::Dice"", ""type::Family"", ""comp::Cards"", ""type::Card Game"", ""mech::Set Collection""]",149
Deck-Building & Drafting Card Games,Games where players build custom decks throughout play by drafting cards from common pools,"[""mech::Deck Building"", ""comp::Cards"", ""type::Card Game"", ""mech::Hand Management"", ""mech::Drafting"", ""type::Solitaire"", ""type::Fighting"", ""mech::Variable Player Powers"", ""type::Strategy"", ""type::Cooperative""]",141
Print & Play Solo Card Games,Downloadable card games designed for solo play without expensive production components,"[""type::Print & Play"", ""type::Solitaire"", ""type::Card Game"", ""comp::Cards"", ""comp::Dice""]",136
Customizable Two-Player Card Fighting Games,Collectible two-player card fighting games where competitive decks are customized from available cards,"[""type::Customizable Game"", ""comp::Collectible"", ""type::Fighting"", ""mech::Deck Building"", ""type::Card Game"", ""comp::Cards"", ""type::Two-Player"", ""mech::Variable Player Powers"", ""mech::Hand Management""]",134
Number Family Card Games,Family card games centered on number values and matching or ordering mechanics,"[""type::Number"", ""type::Card Game"", ""comp::Cards"", ""type::Family"", ""mech::Hand Management"", ""mech::Set Collection""]",123
Auction Worker Economic Games,"Economic strategy games combining worker placement, auctions, bidding, and set-collection mechanics","[""type::Economic"", ""type::Strategy"", ""mech::Auction"", ""mech::Bidding"", ""mech::Worker Placement"", ""mech::Set Collection"", ""mech::Drafting""]",110
Family Pattern Tile Placement Games,Family-friendly abstract tile-placement games focused on pattern building and drafting,"[""mech::Pattern Building"", ""type::Abstract"", ""mech::Tile Placement"", ""mech::Puzzle"", ""type::Strategy"", ""type::Family"", ""comp::Grid"", ""mech::Drafting"", ""mech::Set Collection""]",106
Cooperative Miniatures Adventure Games,"Cooperative adventure games blending exploration, deduction, and variable player powers, often playable solo","[""type::Cooperative"", ""type::Solitaire"", ""mech::Variable Player Powers"", ""mech::Induction / Deduction"", ""mech::Exploration"", ""comp::Dice"", ""comp::Miniatures"", ""mech::Puzzle"", ""type::Role Playing"", ""comp::Modular Board"", ""type::Fighting"", ""mech::Action Points""]",100
Take-That Party Elimination Games,"Party-style card games featuring player elimination, bluffing, and aggressive take-that mechanics","[""mech::Player Elimination"", ""mech::Bluffing"", ""type::Party Game"", ""type::Take That"", ""mech::Variable Player Powers"", ""comp::Cards"", ""type::Card Game"", ""type::Fighting"", ""mech::Hand Management""]",99
